INTAKEID,RECVDATE,AE_CATEGORY,AE_SHORT,ADVERSE_EVENT,FINDING_DETAIL,ASPEN_FACID,NAME,ASPEN_FACTYPE_LABEL,LAT,LON
CA00892249,28-Mar-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA060000040,LOS ANGELES GENERAL MEDICAL CENTER,General Acute Care Hospital,34.05627769,-118.2064778
CA00893042,29-Mar-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated with deficiencies,CA060000040,LOS ANGELES GENERAL MEDICAL CENTER,General Acute Care Hospital,34.05627769,-118.2064778
CA00893045,29-Mar-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated with deficiencies,CA060000040,LOS ANGELES GENERAL MEDICAL CENTER,General Acute Care Hospital,34.05627769,-118.2064778
CA00883449,5-Feb-24,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Unsubstantiated,CA11000000361,MARINHEALTH MEDICAL CENTER,General Acute Care Hospital,37.947339,-122.5359045
CA00840616,10-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Unsubstantiated,CA00000000946,KENTFIELD HOSPITAL,General Acute Care Hospital,37.958733,-122.552415
CA00826562,13-Feb-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00903716,6-Jun-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA930000081,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,General Acute Care Hospital,33.83856,-118.3571595
CA00934353,9-Dec-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA220001022,KAISER FOUNDATION HOSPITAL-SANTA CLARA,General Acute Care Hospital,37.33537712,-121.9958192
CA00881907,26-Jan-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA120000555,ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS,General Acute Care Hospital,35.367345,-119.057472
CA00847318,26-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA930000002,CALIFORNIA HOSPITAL MEDICAL CENTER LA,General Acute Care Hospital,34.03746,-118.2658005
CA00914490,12-Aug-24,07 - Other,28: Adverse Event Series			,28: Adverse Event/Series of Adverse Events Caused the Death/Serious Disability of a Patient/Personnel/Visitor,Substantiated with deficiencies,CA050000192,VENTURA COUNTY MEDICAL CENTER INPATIENT D/P APH,General Acute Care Hospital,34.276518,-119.253348
CA00851754,21-Jul-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA930000290,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,General Acute Care Hospital,34.171263,-118.5886125
CA00835782,12-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA240000046,REDLANDS COMMUNITY HOSPITAL,General Acute Care Hospital,34.036506,-117.2051775
CA00855460,11-Aug-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000121,MARSHALL MEDICAL CENTER,General Acute Care Hospital,38.724588,-120.7911915
CA00847552,26-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000133,KAISER FOUNDATION HOSP SO SACRAMENTO,General Acute Care Hospital,38.470392,-121.4223975
CA00826965,15-Feb-23,05 - Environmental Events,22: Fall,22: Patient Death Associated with a Fall,Substantiated without deficiencies,CA930000162,RONALD REAGAN UCLA MEDICAL CENTER,General Acute Care Hospital,34.066197,-118.44594
CA00831909,20-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA080000036,SHARP MEMORIAL HOSPITAL,General Acute Care Hospital,32.798322,-117.155007
CA00832497,22-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA080000036,SHARP MEMORIAL HOSPITAL,General Acute Care Hospital,32.798322,-117.155007
CA00922052,24-Sep-24,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Z2_Missing,CA140000034,HIGHLAND HOSPITAL,General Acute Care Hospital,37.798281,-122.231673
CA00837079,19-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000134,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care Hospital,38.766168,-121.249359
CA00838534,28-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000134,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care Hospital,38.766168,-121.249359
CA00844296,6-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000134,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care Hospital,38.766168,-121.249359
CA00844515,7-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000134,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care Hospital,38.766168,-121.249359
CA00844939,9-Jun-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000134,SUTTER ROSEVILLE MEDICAL CENTER,General Acute Care Hospital,38.766168,-121.249359
